product_name,price,og_price,product_link,img_url
Regular Fit Wool-blend jumper,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1099661001.html,"https://lp2.hm.com/hmgoepprod?set=source[/6a/c2/6ac24f6d867383237243a1403cdf9c7df0a679f1.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Running shorts,1599.0,1999.0,https://www2.hm.com/en_in/productpage.1105454004.html,"https://lp2.hm.com/hmgoepprod?set=source[/80/14/801482c65480af63f2c19b1a8982333cdf8f838a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Cotton joggers,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1035205019.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/6f/636f43f4f4aa2cd89ab475e56d3f36c94fc33d61.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Linen-blend trousers,2159.0,2699.0,https://www2.hm.com/en_in/productpage.1130968002.html,"https://lp2.hm.com/hmgoepprod?set=source[/2e/0b/2e0b111b190b4589803b615ad69ddacb102fbcbf.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Slim Fit Cotton polo shirt,1109.0,1299.0,https://www2.hm.com/en_in/productpage.1130226002.html,"https://lp2.hm.com/hmgoepprod?set=source[/6a/6b/6a6bc8b2e5e9bdb72898fce90edb712bd724c85c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Printed sweatshorts,1109.0,1299.0,https://www2.hm.com/en_in/productpage.1163151002.html,"https://lp2.hm.com/hmgoepprod?set=source[/aa/05/aa0541e6114d3b81a268c209308b4c4d7c97c795.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Printed sweatshirt,1599.0,1999.0,https://www2.hm.com/en_in/productpage.0927696038.html,"https://lp2.hm.com/hmgoepprod?set=source[/83/f5/83f58b5cb7a3a4dd2817db399a794c5661b38564.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Pima cotton T-shirt,1199.0,1499.0,https://www2.hm.com/en_in/productpage.1101075010.html,"https://lp2.hm.com/hmgoepprod?set=source[/f2/9e/f29edda0351ad04a9f25fb19c2e75b7d21be1baf.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Swim shorts,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1057589010.html,"https://lp2.hm.com/hmgoepprod?set=source[/af/b4/afb4c9b47f335c91e45f69c64336feb8c01bf5d9.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Skinny Fit Cargo joggers,2159.0,2699.0,https://www2.hm.com/en_in/productpage.1116981001.html,"https://lp2.hm.com/hmgoepprod?set=source[/24/bb/24bbaedd07a690af8997e87199e7e0240ce66102.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
